Paramètre,$\mu_{\tau}$ (s),,$\mu_{d}$ (m),,$1/\lambda$ (s),,$\mu_{v_f}$,,$\mu_l$ (m),,$\mu_g$ (s),
Valeur nominale,2,,9,,3.8,,14,,7,,4,
Variation,-40\%,+40\%,-40\%,+40\%,-40\%,+40\%,-40\%,+40\%,-40\%,+40\%,-40\%,+40\%
Valeur ,1.2,2.8,5.4,12.6,2.28,5.32,8.4,19.6,4.2,9.8,2.4,5.6
Indicateurs de performance,,,,,,,,,,,,
$\overline{v}$,8.90,7.64,8.31,8.00,6.92,10.29,4.83,12.96,8.23,8.11,10.28,7.38
$\overline{\tau^{suivi}$,41.90,38.75,40.60,39.30,36.26,45.12,36.53,45.86,40.20,39.82,42.93,39.70
$\overline{nUser_2}$,64.40,50.73,58.14,54.80,56.27,58.47,38.40,70.33,57.60,55.93,84.87,40.13
Valeurs moyennes des indicateurs de sévérité des interactions latérales,,,,,,,,,,,,
$\overline{nInter_{10}}$,163.73,156.53,184.53,97.07,166.20,148.07,150.53,163.40,160.80,110.07,137.13,168.00
$\overline{nInter_{20}}$,257.33,233.53,264.20,188.87,256.53,220.60,237.07,244.47,247.47,195.53,206.60,264.13
$\overline{nInter_{50}}$,518.60,452.13,543.93,387.73,503.27,415.60,486.60,464.93,486.93,434.33,439.67,515.33
$\overline{TTC_{min}$ (s),9.46,9.71,9.60,9.40,10.08,7.90,8.95,8.39,9.42,9.67,7.95,9.74
$\overline{PET}$ (s),2.38,2.81,2.53,2.67,2.70,2.35,2.69,2.21,2.64,2.53,1.80,3.46
$\overline{nInter_{10}}$,150.09,172.56,153.91,174.45,182.98,126.33,175.10,152.78,163.79,170.00,133.50,173.12
Valeurs moyennes des indicateurs de sévérité des interactions arrières,,,,,,,,,,,,
$\overline{nInter_{10}}$,61.27,49.00,56.20,53.13,55.20,50.73,37.20,64.67,55.33,54.13,80.40,39.13
$\overline{nInter_{20}}$,61.80,49.53,56.60,53.27,55.33,51.73,37.33,65.87,55.93,54.47,81.40,39.20
$\overline{nInter_{50}}$,62.87,49.80,57.07,53.87,56.20,54.47,38.33,68.00,56.47,55.20,83.00,39.47
$\overline{TTC_{min}$ (s),0.69,0.55,0.43,0.85,0.44,1.62,0.70,0.74,0.82,0.43,0.76,0.52
$\overline{D_{min}}$,4.61,3.91,2.67,7.04,3.13,9.66,3.46,6.39,6.77,2.54,4.74,3.71
